Dataset,Noise Type,Noise Level Index,Accuracy Mean,Accuracy SE,Relabelling F1 Mean,Relabelling F1 SE,Relabelling Accuracy Mean,Relabelling Accuracy SE
7,0,8,0.045015873,0.005905746,0.455385392,0.011681389,0.048863468,0.006668898
7,0,9,0.042730159,0.005482875,0.501534868,0.012349323,0.045964577,0.005702196
7,1,0,0.976380952,0.001378885,0,0,0,0
7,1,1,0.971047619,0.001520304,0.597757912,0.006389904,0.828884376,0.007044023
7,1,2,0.93815873,0.002050277,0.767778804,0.004990212,0.824238231,0.004707674
7,1,3,0.832952381,0.004220783,0.818613751,0.008013996,0.796359329,0.007386192
7,1,4,0.597396825,0.007084032,0.66072325,0.023103375,0.573052161,0.025577107
7,1,5,0.303936508,0.007121191,0.344199087,0.014123438,0.185593591,0.012358536
7,1,6,0.102412698,0.004306324,0.298745196,0.008582422,0.098785274,0.007271304
7,1,7,0.027047619,0.001818592,0.316897926,0.010086418,0.074749575,0.007154895
7,1,8,0.006666667,0.000756752,0.331626212,0.008636286,0.042144792,0.005104461
7,1,9,0.00247619,0.000497083,0.353483933,0.009943736,0.03300456,0.004448448
7,2,0,0.867619048,0.002960873,0,0,0,0
7,2,1,0.870666667,0.003242523,0,0,0,0
7,2,2,0.868380952,0.00376957,0,0,0,0
7,2,3,0.833460317,0.007956174,0,0,0,0
7,2,4,0.614539683,0.023604681,0,0,0,0
7,2,5,0.21352381,0.01287651,0,0,0,0
7,2,6,0.094412698,0.006912595,0,0,0,0
7,2,7,0.064253968,0.006368281,0,0,0,0
7,2,8,0.035111111,0.004460103,0,0,0,0
7,2,9,0.02952381,0.004415942,0,0,0,0
8,0,0,0.832063492,0.00425876,0,0,0,0
8,0,1,0.834222222,0.003590399,0.547567539,0.006517466,0.792857287,0.00701836
8,0,2,0.831365079,0.004269937,0.724004239,0.005353209,0.786544824,0.006172436
8,0,3,0.827809524,0.00375223,0.814623317,0.003813937,0.789612797,0.005301531
8,0,4,0.627809524,0.016678271,0.704189328,0.016133878,0.578183322,0.01820228
8,0,5,0.138793651,0.014881025,0.351450815,0.016532925,0.1254828,0.014286281
8,0,6,0.025460317,0.00249717,0.257526012,0.006608576,0.028848875,0.002516787
8,0,7,0.018095238,0.001764523,0.284008807,0.007298955,0.023176907,0.002342628
8,0,8,0.019809524,0.002493892,0.322623166,0.007737727,0.024742107,0.002713408
8,0,9,0.017142857,0.001602911,0.355264619,0.008795742,0.02163538,0.001946925
8,1,0,0.976380952,0.001378885,0,0,0,0
8,1,1,0.972507937,0.001449315,0.59829043,0.005583125,0.828456423,0.006668714
8,1,2,0.945015873,0.001958895,0.772929316,0.003437718,0.836242706,0.004126685
8,1,3,0.851492063,0.004333332,0.840840286,0.003907494,0.819264236,0.00531401
8,1,4,0.639301587,0.006790491,0.772396365,0.016424031,0.689566587,0.018272544
8,1,5,0.340253968,0.006609636,0.284320773,0.011996508,0.131682496,0.010535009
